phonetic_reading,sign_name,source
'A,ALEPH,CM
'A3,E2,CM
'A4,HA,CM
'E,ALEPH,CM
'I,ALEPH,CM
'I3,HI,CM
'U,ALEPH,CM
'U3,LAGAB×GUD,CM
'U4,A,CM
'U5,HU,CM
'a,ALEPH,CM
'a3,E2,CM
'a4,HA,CM
'e,ALEPH,CM
'i,ALEPH,CM
'i3,HI,CM
'u,ALEPH,CM
'u3,LAGAB×GUD,CM
'u4,A,CM
'u5,HU,CM
(KASKAL.LAGAB×U)&(KASKAL.LAGAB×U),(KASKAL.LAGAB×U)&(KASKAL.LAGAB×U),CM
(NUN.LAGAR×SAL)&(NUN.LAGAR×SAL),(NUN.LAGAR×SAL)&(NUN.LAGAR×SAL),CM
(ŠE.NUN&NUN)&(ŠE.NUN&NUN),(ŠE.NUN&NUN)&(ŠE.NUN&NUN),CM
(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD.GAR&GAR,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD.GAR&GAR,CM
(ŠE.NUN&NUN)&(ŠE.NUN&NUN).LAGAB,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).LAGAB,CM
(ŠE.NUN&NUN)&(ŠE.NUN&NUN).LAGAB.LAGAB,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).LAGAB.LAGAB,CM
(ŠE.NUN&NUN)×TAK4,(ŠE.NUN&NUN)×TAK4,CM
...A,TI@t,CM
...AŠ,LU2×SIK2+BU,CM
...BA,KI.LAM,CM
...BUN,LAGAR×ŠE+SUM,CM
...E,GA2×UD+DU,CM
...GA,KI.BI.KAK,CM
...GI,GAD.TAK4.GIŠ,CM
...GUKIN,SAG×KUR,CM
...ID,LU2×EŠ2.LAL,CM
...INGARA,E2.GIŠ.TUG2.PI.AN.ŠE.NAGA,CM
...KI,ARAD,CM
...LA,E2.KI.SUM.GA,CM
...LUKU,IGI.KUR,CM
...NUNNAM...,KUN,CM
...RI,NUN,CM
...RIG,NUN.LAGAR×UŠ,CM
...TALLU,LU2×NU,CM
...a,TI@t,CM
...ba,KI.LAM,CM
...bun,LAGAR×ŠE+SUM,CM
...e,GA2×UD+DU,CM
...ga,KI.BI.KAK,CM
...gi,GAD.TAK4.GIŠ,CM
...gukin,SAG×KUR,CM
...id,LU2×EŠ2.LAL,CM
...ingara,E2.GIŠ.TUG2.PI.AN.ŠE.NAGA,CM
...ki,ARAD,CM
...la,E2.KI.SUM.GA,CM
...luku,IGI.KUR,CM
...nunnam...,KUN,CM
...ri,NUN,CM
...rig,NUN.LAGAR×UŠ,CM
...tallu,LU2×NU,CM
/AD/,LU2@s,CM
/ALLURA/,BAHAR2,CM
/DAMAL/,GA2×AN,CM
/DIMER/,AN,CM
/ENEĜ/,KA,CM
/MAL/,IG,CM
/MUTIN/,GEŠTIN,CM
/NERIM/,NE.RU,CM
/TEŠLUG/,LU2×LAGAB,CM
/ZEĜ/,SUM,CM
/ad/,LU2@s,CM
/allura/,BAHAR2,CM
/damal/,GA2×AN,CM
/dimer/,AN,CM
/eneĝ/,KA,CM
/mal/,IG,CM
/mutin/,GEŠTIN,CM
/nerim/,NE.RU,CM
/tešlug/,LU2×LAGAB,CM
/zeĝ/,SUM,CM
/ĜEREŠ/,ARAD×KUR,CM
/ĝereš/,ARAD×KUR,CM
/ŠITLAM/,DIM2,CM
/ŠUMDUM/,KA×NUN,CM
/ŠUMUN/,ZI&ZI.LAGAB,CM
/šitlam/,DIM2,CM
/šumdum/,KA×NUN,CM
/šumun/,ZI&ZI.LAGAB,CM
1(AŠ@T),AŠ@z,CM
1(aš@t),AŠ@z,CM
1/3DIŠ,ŠUŠANA,CM
1/3diš,ŠUŠANA,CM
1AŠ,AŠ,CM
1BARIGA,DIŠ,CM
1DIŠ,DIŠ,CM
1U,U,CM
1aš,AŠ,CM
1bariga,DIŠ,CM
1diš,DIŠ,CM
1u,U,CM
1ŠAR2,ŠAR2,CM
1šar2,ŠAR2,CM
2/3DIŠ,ŠANABI,CM
2/3diš,ŠANABI,CM
2BARIGA,NIGIDAMIN,CM
2bariga,NIGIDAMIN,CM
3BARIGA,NIGIDAEŠ,CM
3bariga,NIGIDAEŠ,CM
4(DIŠ@V),LIMMU~b,CM
4(diš@v),LIMMU~b,CM
4BARIGA,NIGIDALIMMU,CM
4bariga,NIGIDALIMMU,CM
5/6DIŠ,KINGUSILI,CM
