unicode_id,sign_grapheme,transliteration,translit_normalized
U+1202E,𒀮,an / an,AN/AN
U+12030,𒀰,an + naga opposing an + naga,AN+NAGA
U+12031,𒀱,an + naga squared,AN+NAGA
U+12039,𒀹,ash zida tenu,AŠZIDA@T
U+1203A,𒀺,ash kaba tenu,AŠKABA@T
U+1203B,𒀻,ash / ash tug₂ / tug₂ tug₂ / tug₂ pap,AŠ/AŠTUG2/TUG2TUG2/TUG2PAP
U+1203C,𒀼,ash / ash / ash,AŠ/AŠ/AŠ
U+1203D,𒀽,ash / ash / ash crossing ash / ash / ash,AŠ/AŠ/AŠCROSSINGAŠ/AŠ/AŠ
U+12045,𒁅,bal / bal,BAL/BAL
U+1204E,𒁎,bu / bu ab,BU/BUAB
U+1204F,𒁏,bu / bu un,BU/BUUN
U+12050,𒁐,bu crossing bu,BUCROSSINGBU
U+12052,𒁒,bulug / bulug,BULUG/BULUG
U+12078,𒁸,din kaskal u gunu dish,DINKASKALU@GDISH
U+12079,𒁹,dish,DISH
U+1207B,𒁻,du / du,DU/DU
U+1207D,𒁽,du sheshig,DUŠEŠIG
U+1208C,𒂌,e / e nun / nun,E/ENUN/NUN
U+1209B,𒂛,en crossing en,ENCROSSINGEN
U+120A4,𒂤,ezen × a + lal × lal,EZENXA+LALXLAL
U+120B0,𒂰,ezen × lal × lal,EZENXLALXLAL
U+120D7,𒃗,ga₂ × ish + hu + ash,GA2XISH+HU+AŠ
U+120E1,𒃡,ga₂ × nun / nun,GA2XNUN/NUN
U+120ED,𒃭,ga₂ / ga₂,GA2/GA2
U+120EF,𒃯,gaba crossing gaba,GABACROSSINGGABA
U+120F1,𒃱,gad / gad gar / gar,GAD/GADGAR/GAR
U+120F3,𒃳,gal gad / gad gar / gar,GALGAD/GADGAR/GAR
U+120F9,𒃹,gan₂ / gan₂,GAN2/GAN2
U+120FA,𒃺,gan₂ crossing gan₂,GAN2CROSSINGGAN2
U+12103,𒄃,gi crossing gi,GICROSSINGGI
U+12105,𒄅,gi₄ / gi₄,GI4/GI4
U+12106,𒄆,gi₄ crossing gi₄,GI4CROSSINGGI4
U+12112,𒄒,gish crossing gish,GIŠCROSSINGGIŠ
U+12117,𒄗,gu crossing gu,GUCROSSINGGU
U+12121,𒄡,gud / gud lugal,GUD/GUDLUGAL
U+12131,𒄱,hi × dish,HIXDISH
U+1213C,𒄼,hub₂ × lish,HUB2XLISH
U+12143,𒅃,idim / idim bur,IDIM/IDIMBUR
U+12144,𒅄,idim / idim squared,IDIM/IDIM
U+12147,𒅇,igi dib,IGIDIB
U+12148,𒅈,igi ri,IGIRI
U+12149,𒅉,igi / igi shir / shir ud / ud,IGI/IGIŠIR/ŠIRUD/UD
U+12150,𒅐,im crossing im,IMCROSSINGIM
U+12156,𒅖,ish,ISH
U+1216A,𒅪,ka × gish crossing gish,KAXGIŠCROSSINGGIŠ
U+1218E,𒆎,ka₂ crossing ka₂,KA2CROSSINGKA2
U+12194,𒆔,kad₅ / kad₅,KAD5/KAD5
U+12199,𒆙,kal crossing kal,KALCROSSINGKAL
U+1219D,𒆝,kaskal lagab × u / lagab × u,KASKALLAGABXU/LAGABXU
U+1219E,𒆞,kaskal / kaskal lagab × u / lagab × u,KASKAL/KASKALLAGABXU/LAGABXU
U+121A7,𒆧,kish,KISH
U+121A9,𒆩,kisim₅ / kisim₅,KISIM5/KISIM5
U+121AB,𒆫,ku / hi × ash₂ ku / hi × ash₂,KU/HIXAŠ2KU/HIXAŠ2
U+121AE,𒆮,ku₄ variant form,KU4VARIANTFORM
U+121BF,𒆿,lagab × ash zida tenu,LAGABXAŠZIDA@T
U+121D5,𒇕,lagab × lish,LAGABXLISH
U+121DE,𒇞,lagab × shita + gish tenu,LAGABXŠITA+GIŠ@T
U+121F0,𒇰,lagar gunu / lagar gunu she,LAGAR@G/LAGAR@GŠE
U+121F3,𒇳,lal × lal,LALXLAL
U+121FA,𒇺,lish,LISH
U+12212,𒈒,lu₂ crossing lu₂,LU2CROSSINGLU2
U+12215,𒈕,lu₂ sheshig,LU2ŠEŠIG
U+12218,𒈘,lugal / lugal,LUGAL/LUGAL
U+1221A,𒈚,lugal sheshig,LUGALŠEŠIG
U+1221E,𒈞,lum / lum,LUM/LUM
U+1221F,𒈟,lum / lum gar / gar,LUM/LUMGAR/GAR
U+1222D,𒈭,mu / mu,MU/MU
U+12236,𒈶,mush / mush,MUŠ/MUŠ
U+12237,𒈷,mush / mush × a + na,MUŠ/MUŠXA+NA
U+12238,𒈸,mush crossing mush,MUŠCROSSINGMUŠ
U+12241,𒉁,naga inv.,NAGAINV.
U+12245,𒉅,nam nutillu,NAMNUTILLU
U+1224B,𒉋,ne sheshig,NEŠEŠIG
U+1225B,𒉛,ninda₂ × she + a an,NINDA2XŠE+AAN
U+12264,𒉤,nun lagar × gar,NUNLAGARXGAR
U+12265,𒉥,nun lagar × mash,NUNLAGARXMAŠ
U+12266,𒉦,nun lagar × sal,NUNLAGARXSAL
U+12267,𒉧,nun lagar × sal / nun lagar × sal,NUNLAGARXSAL/NUNLAGARXSAL
U+12268,𒉨,nun lagar × ush,NUNLAGARXUŠ
U+1226A,𒉪,nun / nun,NUN/NUN
U+1226B,𒉫,nun crossing nun,NUNCROSSINGNUN
U+1226C,𒉬,nun crossing nun lagar / lagar,NUNCROSSINGNUNLAGAR/LAGAR
U+12279,𒉹,nunuz kisim₅ × bi u,NUNUZ.KISIM5XBIU
U+12289,𒊉,pi crossing pi,PICROSSINGPI
U+12294,𒊔,sag nutillu,SAGNUTILLU
U+122A7,𒊧,sag / sag,SAG/SAG
U+122AA,𒊪,sal lagab × ash₂,SALLAGABXAŠ2
U+122BB,𒊻,she hu,ŠEHU
U+122BC,𒊼,she / she gad / gad gar / gar,ŠE/ŠEGAD/GADGAR/GAR
U+122BD,𒊽,she / she tab / tab gar / gar,ŠE/ŠETAB/TABGAR/GAR
U+122D5,𒋕,shir / shir bur / bur,ŠIR/ŠIRBUR/BUR
U+122D8,𒋘,shu / inv. shu,ŠU/INV.ŠU
U+122DF,𒋟,sig₄ / sig₄ shu₂,SIG4/SIG4ŠU2
U+122E3,𒋣,su / su,SU/SU
U+122F1,𒋱,tab / tab ni / ni dish / dish,TAB/TABNI/NIDISH/DISH
U+12302,𒌂,tir × tak₄,TIRXTAK4
U+12303,𒌃,tir / tir,TIR/TIR
U+12304,𒌄,tir / tir gad / gad gar / gar,TIR/TIRGAD/GADGAR/GAR
U+1230A,𒌊,tur / tur za / za,TUR/TURZA/ZA
U+1230C,𒌌,u gud,UGUD
U+1230D,𒌍,u u u,UUU
U+1230E,𒌎,u / u pa / pa gar / gar,U/UPA/PAGAR/GAR
U+1230F,𒌏,u / u sur / sur,U/USUR/SUR
U+12310,𒌐,u / u u reversed / u reversed,U/UUREVERSED/UREVERSED
U+12314,𒌔,ud kushu₂,UDKUŠU2
U+1231A,𒌚,ud sheshig,UDŠEŠIG
U+1231B,𒌛,ud sheshig × bad,UDŠEŠIGXBAD
U+12329,𒌩,ur crossing ur,URCROSSINGUR
U+1232A,𒌪,ur sheshig,URŠEŠIG
U+12344,𒍄,uru × ish,URUXISH
U+1235F,𒍟,za squared × kur,ZAXKUR
U+12364,𒍤,zi / zi,ZI/ZI
U+12367,𒍧,zib kaba tenu,ZIBKABA@T
U+1236F,𒍯,kap elamite,KAPELAMITE
U+12370,𒍰,ab × nun,ABXNUN
U+12371,𒍱,ab₂ × a,AB2XA
U+12372,𒍲,amar × kug,AMARXKUG
U+12373,𒍳,dag kisim₅ × u₂ + mash,DAG.KISIM5XU2+MAŠ
U+12375,𒍵,dish + shu,DISH+ŠU
U+12376,𒍶,dub × she,DUBXŠE
U+12377,𒍷,ezen × gud,EZENXGUD
U+12379,𒍹,ga₂ × an + kak + a,GA2XAN+KAK+A
U+1237A,𒍺,ga₂ × ash₂,GA2XAŠ2
U+1237E,𒍾,ka × anshe,KAXANŠE
U+1237F,𒍿,ka × ash₃,KAXAŠ3
U+12381,𒎁,ka × gud,KAXGUD
U+12385,𒎅,ka × shul,KAXŠUL
U+12386,𒎆,ka × tu,KAXTU
U+12388,𒎈,lagab × gi,LAGABXGI
U+12389,𒎉,lu₂ sheshig × bad,LU2ŠEŠIGXBAD
U+1238A,𒎊,lu₂ × esh₂ + lal,LU2XEŠ2+LAL
U+1238D,𒎍,mush₃ × za,MUŠ3XZA
U+12391,𒎑,ninda₂ × bal,NINDA2XBAL
U+12392,𒎒,ninda₂ × gi,NINDA2XGI
U+12393,𒎓,nu₁₁ rot. ninety degrees,NU11ROT.NINETYDEGREES
U+12394,𒎔,pesh₂ *,PEŠ2*
U+12396,𒎖,sag × igi gunu,SAGXIGI@G
U+12398,𒎘,um × me,UMXME
