p_number,designation,period,provenience,subgenre,line_label,sumerian_reading,sign_sequence,akkadian_gloss
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 3',kadra,|GAR.ŠA₃.A|,[ka]-⸢ad⸣-ru-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 4',nindaba,|PAD.AN.MUŠ₃|,[ni]-⸢in⸣-da-bu-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 5',ninnim₇,|PAD.AN.MUŠ₃|,[ta-ak]-⸢li⸣-im-tum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 8',kar-kar{ki},,kar-ka-ra
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 9',nibru{ki},|EN.KID|{⸢ki⸣},ni-ip-pu-ru
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 10',uri₂{ki},|ŠEŠ.AB|{⸢ki⸣},u₄-ru
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 11',unug{ki},,u₂-ru-uk
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 12',kul-ab{ki},,⸢ku⸣-ul-a-ba
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 13',engiz,|EN.ME.GI|,⸢nu⸣-ha-tim-⸢mu⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 14',engiz,|EN.ME.GI|,⸢si⸣-ra-šu-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 15',ensi,|EN.ME.LI|,⸢ša⸣-i-lum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 1',,ANŠE-⸢X⸣,
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 2',,|ANŠE.ARAD|,⸢ša⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 3',,ANŠE-A-MI,hu-⸢x⸣-[x]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 4',,|ANŠE.SAL|,a-ta-nu
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 5',,|TAG.TAG|,du-⸢mu⸣-qum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 6',,|TAG.TAG|,zu-hu-nu-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 7',,|TAG.TAG|,⸢ta⸣-qi₂-nu-um
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 8',,|TUR.UŠ|,⸢ap-lum⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 9',⸢TUR⸣{da},,⸢ek-du-um⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 10',<(TUR{da)>},,da-⸢x⸣-[x]-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 11',<(TUR{da)>},,re-du-um
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 12',<(TUR{da)>},,ṣe-⸢eh⸣-rum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 13',<(TUR{da)>},,ta-⸢ši⸣-[im]-⸢tum⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 14',,|TUR.DIŠ|,⸢x-x⸣-rum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 15',,|EŠ₂.ŠE|,[da]-⸢pi⸣-nu-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 16',,EŠ₂-⸢IŠ⸣,[...]-u₂-⸢šu⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 1',,|TE.AB@g|,⸢x⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 2',,|TE.AB@g|,⸢x⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 3',,|TE.AB@g|,⸢x⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 4',,|TE.AB@g|,⸢x⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 5',,|TE.AB@g|,na-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 6',,|EZEN×DUN₃@g|{ki},UD-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 7',,|EZEN×KU₃|{ki},UD-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 8',,|EZEN×IGI@g|{ki},⸢ki⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 9',,LU₂-⸢X⸣,
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 1,agrig,|IGI.DUB|,a-ba-ra-ak-kum
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 2,agrig,,ag₂-ri-iq-qu₃-um
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 3,imhur₄,|IGI.A|,hu-ur-hu-ma-at
