unicode_id,sign_grapheme,transliteration
U+12000,𒀀,a
U+12001,𒀁,a × a
U+12002,𒀂,a × bad
U+12003,𒀃,a × gan₂ tenu
U+12004,𒀄,a × ha
U+12005,𒀅,a × igi
U+12006,𒀆,a × lagar gunu
U+12007,𒀇,a × mush
U+12008,𒀈,a × sag
U+12009,𒀉,a₂
U+1200A,𒀊,ab
U+1200B,𒀋,ab × ash₂
U+1200C,𒀌,ab × dun₃ gunu
U+1200D,𒀍,ab × gal
U+1200E,𒀎,ab × gan₂ tenu
U+1200F,𒀏,ab × ha
U+12010,𒀐,ab × igi gunu
U+12011,𒀑,ab × imin
U+12012,𒀒,ab × lagab
U+12013,𒀓,ab × shesh
U+12014,𒀔,ab × u + u + u
U+12015,𒀕,ab gunu
U+12016,𒀖,ab₂
U+12017,𒀗,ab₂ × balag
U+12018,𒀘,ab₂ × gan₂ tenu
U+12019,𒀙,ab₂ × me + en
U+1201A,𒀚,ab₂ × sha₃
U+1201B,𒀛,ab₂ × tak₄
U+1201C,𒀜,ad
U+1201D,𒀝,ak
U+1201E,𒀞,ak × erin₂
U+1201F,𒀟,ak × shita + gish
U+12020,𒀠,al
U+12021,𒀡,al × al
U+12022,𒀢,al × dim₂
U+12023,𒀣,al × gish
U+12024,𒀤,al × ha
U+12025,𒀥,al × kad₃
U+12026,𒀦,al × ki
U+12027,𒀧,al × she
U+12028,𒀨,al × ush
U+12029,𒀩,alan
U+1202A,𒀪,aleph
U+1202B,𒀫,amar
U+1202C,𒀬,amar × she
U+1202D,𒀭,an
U+1202E,𒀮,an / an
U+1202F,𒀯,an three ×
U+12030,𒀰,an + naga opposing an + naga
U+12031,𒀱,an + naga squared
U+12032,𒀲,anshe
U+12033,𒀳,apin
U+12034,𒀴,arad
U+12035,𒀵,arad × kur
U+12036,𒀶,arkab
U+12037,𒀷,asal₂
U+12038,𒀸,ash
U+12039,𒀹,ash zida tenu
U+1203A,𒀺,ash kaba tenu
U+1203B,𒀻,ash / ash tug₂ / tug₂ tug₂ / tug₂ pap
U+1203C,𒀼,ash / ash / ash
U+1203D,𒀽,ash / ash / ash crossing ash / ash / ash
U+1203E,𒀾,ash₂
U+1203F,𒀿,ashgab
U+12040,𒁀,ba
U+12041,𒁁,bad
U+12042,𒁂,bag₃
U+12043,𒁃,bahar₂
U+12044,𒁄,bal
U+12045,𒁅,bal / bal
U+12046,𒁆,balag
U+12047,𒁇,bar
U+12048,𒁈,bara₂
U+12049,𒁉,bi
U+1204A,𒁊,bi × a
U+1204B,𒁋,bi × gar
U+1204C,𒁌,bi × igi gunu
U+1204D,𒁍,bu
U+1204E,𒁎,bu / bu ab
U+1204F,𒁏,bu / bu un
U+12050,𒁐,bu crossing bu
U+12051,𒁑,bulug
U+12052,𒁒,bulug / bulug
U+12053,𒁓,bur
U+12054,𒁔,bur₂
U+12055,𒁕,da
U+12056,𒁖,dag
U+12057,𒁗,dag kisim₅ × a + mash
U+12058,𒁘,dag kisim₅ × amar
U+12059,𒁙,dag kisim₅ × balag
U+1205A,𒁚,dag kisim₅ × bi
U+1205B,𒁛,dag kisim₅ × ga
U+1205C,𒁜,dag kisim₅ × ga + mash
U+1205D,𒁝,dag kisim₅ × gi
U+1205E,𒁞,dag kisim₅ × gir₂
U+1205F,𒁟,dag kisim₅ × gud
U+12060,𒁠,dag kisim₅ × ha
U+12061,𒁡,dag kisim₅ × ir
U+12062,𒁢,dag kisim₅ × ir + lu
U+12063,𒁣,dag kisim₅ × kak
U+12064,𒁤,dag kisim₅ × la
U+12065,𒁥,dag kisim₅ × lu
U+12066,𒁦,dag kisim₅ × lu + mash₂
U+12067,𒁧,dag kisim₅ × lum
U+12068,𒁨,dag kisim₅ × ne
U+12069,𒁩,dag kisim₅ × pap + pap
U+1206A,𒁪,dag kisim₅ × si
U+1206B,𒁫,dag kisim₅ × tak₄
U+1206C,𒁬,dag kisim₅ × u₂ + gir₂
U+1206D,𒁭,dag kisim₅ × ush
U+1206E,𒁮,dam
U+1206F,𒁯,dar
U+12070,𒁰,dara₃
U+12071,𒁱,dara₄
U+12072,𒁲,di
U+12073,𒁳,dib
U+12074,𒁴,dim
U+12075,𒁵,dim × she
U+12076,𒁶,dim₂
U+12077,𒁷,din
U+12078,𒁸,din kaskal u gunu dish
U+12079,𒁹,dish
U+1207A,𒁺,du
U+1207B,𒁻,du / du
U+1207C,𒁼,du gunu
U+1207D,𒁽,du sheshig
U+1207E,𒁾,dub
U+1207F,𒁿,dub × esh₂
U+12080,𒂀,dub₂
U+12081,𒂁,dug
U+12082,𒂂,dugud
U+12083,𒂃,duh
U+12084,𒂄,dun
U+12085,𒂅,dun₃
U+12086,𒂆,dun₃ gunu
U+12087,𒂇,dun₃ gunu gunu
U+12088,𒂈,dun₄
U+12089,𒂉,dur₂
U+1208A,𒂊,e
U+1208B,𒂋,e × pap
U+1208C,𒂌,e / e nun / nun
U+1208D,𒂍,e₂
U+1208E,𒂎,e₂ × a + ha + da
U+1208F,𒂏,e₂ × gar
U+12090,𒂐,e₂ × mi
U+12091,𒂑,e₂ × sal
U+12092,𒂒,e₂ × she
U+12093,𒂓,e₂ × u
U+12094,𒂔,edin
U+12095,𒂕,egir
U+12096,𒂖,el
U+12097,𒂗,en
U+12098,𒂘,en × gan₂
U+12099,𒂙,en × gan₂ tenu
U+1209A,𒂚,en × me
U+1209B,𒂛,en crossing en
U+1209C,𒂜,en opposing en
U+1209D,𒂝,en squared
U+1209E,𒂞,eren
U+1209F,𒂟,erin₂
U+120A0,𒂠,esh₂
U+120A1,𒂡,ezen
U+120A2,𒂢,ezen × a
U+120A3,𒂣,ezen × a + lal
U+120A4,𒂤,ezen × a + lal × lal
U+120A5,𒂥,ezen × an
U+120A6,𒂦,ezen × bad
U+120A7,𒂧,ezen × dun₃ gunu
U+120A8,𒂨,ezen × dun₃ gunu gunu
U+120A9,𒂩,ezen × ha
U+120AA,𒂪,ezen × ha gunu
U+120AB,𒂫,ezen × igi gunu
U+120AC,𒂬,ezen × kaskal
U+120AD,𒂭,ezen × kaskal squared
U+120AE,𒂮,ezen × ku₃
U+120AF,𒂯,ezen × la
U+120B0,𒂰,ezen × lal × lal
U+120B1,𒂱,ezen × li
U+120B2,𒂲,ezen × lu
U+120B3,𒂳,ezen × u₂
U+120B4,𒂴,ezen × ud
U+120B5,𒂵,ga
U+120B6,𒂶,ga gunu
U+120B7,𒂷,ga₂
U+120B8,𒂸,ga₂ × a + da + ha
U+120B9,𒂹,ga₂ × a + ha
U+120BA,𒂺,ga₂ × a + igi
U+120BB,𒂻,ga₂ × ab₂ tenu + tab
U+120BC,𒂼,ga₂ × an
U+120BD,𒂽,ga₂ × ash
U+120BE,𒂾,ga₂ × ash₂ + gal
U+120BF,𒂿,ga₂ × bad
U+120C0,𒃀,ga₂ × bar + ra
U+120C1,𒃁,ga₂ × bur
U+120C2,𒃂,ga₂ × bur + ra
U+120C3,𒃃,ga₂ × da
U+120C4,𒃄,ga₂ × di
U+120C5,𒃅,ga₂ × dim × she
U+120C6,𒃆,ga₂ × dub
U+120C7,𒃇,ga₂ × el
U+120C8,𒃈,ga₂ × el + la
U+120C9,𒃉,ga₂ × en
U+120CA,𒃊,ga₂ × en × gan₂ tenu
U+120CB,𒃋,ga₂ × gan₂ tenu
U+120CC,𒃌,ga₂ × gar
U+120CD,𒃍,ga₂ × gi
U+120CE,𒃎,ga₂ × gi₄
U+120CF,𒃏,ga₂ × gi₄ + a
U+120D0,𒃐,ga₂ × gir₂ + su
U+120D1,𒃑,ga₂ × ha + lu + esh₂
U+120D2,𒃒,ga₂ × hal
U+120D3,𒃓,ga₂ × hal + la
U+120D4,𒃔,ga₂ × hi + li
U+120D5,𒃕,ga₂ × hub₂
U+120D6,𒃖,ga₂ × igi gunu
U+120D7,𒃗,ga₂ × ish + hu + ash
U+120D8,𒃘,ga₂ × kak
U+120D9,𒃙,ga₂ × kaskal
U+120DA,𒃚,ga₂ × kid
U+120DB,𒃛,ga₂ × kid + lal
U+120DC,𒃜,ga₂ × ku₃ + an
U+120DD,𒃝,ga₂ × la
U+120DE,𒃞,ga₂ × me + en
U+120DF,𒃟,ga₂ × mi
U+120E0,𒃠,ga₂ × nun
U+120E1,𒃡,ga₂ × nun / nun
U+120E2,𒃢,ga₂ × pa
U+120E3,𒃣,ga₂ × sal
U+120E4,𒃤,ga₂ × sar
U+120E5,𒃥,ga₂ × she
U+120E6,𒃦,ga₂ × she + tur
