unicode_id,sign_grapheme,sign_structure,structural_hint,component_position,sign_name,allograph_form,graphic_variant_id,sign_type,compound_form,compound_grapheme,compound_unicode,unicodeTrLit,syllabary_sign,phonetic_version,signList_analogue
U+12000,𒀀,atomic,inherited_from_parent,,A,LAK797,A_v1,Type_3,,,,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,LAK795 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY311 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL470 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU416 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES393 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL324 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU901 [Ur III (~2112–2004 BCE) | Administrative]; MZL839 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE328 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP051 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA274 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,𒀀,compound,,1,|A.A|,,AA_v1,Type_2,|A.A|,𒀀𒀀,U+12000; U+12000,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ASY315 [Standard Babylonian (any period) | Akkadian syllabary]; SYA277 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,𒀀,compound,,2,|A.A|,,AA_v1,Type_2,|A.A|,𒀀𒀀,U+12000; U+12000,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ASY315 [Standard Babylonian (any period) | Akkadian syllabary]; SYA277 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,𒀀,compound,,1,|A.A.A|,,AAA_v1,Type_2,|A.A.A|,𒀀𒀀𒀀,U+12000; U+12000; U+12000,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+12000,𒀀,compound,,2,|A.A.A|,,AAA_v1,Type_2,|A.A.A|,𒀀𒀀𒀀,U+12000; U+12000; U+12000,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+12000,𒀀,compound,,3,|A.A.A|,,AAA_v1,Type_2,|A.A.A|,𒀀𒀀𒀀,U+12000; U+12000; U+12000,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+12000,𒀀,compound,,1,|A.AB.BA|,,AABBA_v1,Type_2,|A.AB.BA|,𒀀𒀊𒁀,U+12000; U+1200A; U+12040,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+1200A,𒀊,compound,,2,|A.AB.BA|,,AABBA_v1,Type_2,|A.AB.BA|,𒀀𒀊𒁀,U+12000; U+1200A; U+12040,ab,AB,AB | ABA | ABBA | AGARINX(AB) | AP | AŠX(AB) | ERI12 | ES3 | ESA3 | EZ3 | EŞ3 | EŠ3 | EŠA3 | EŠEX(AB) | GIRABA | IRI12 | IS3 | IZ3 | IŞ3 | IŠ7 | UNU5 | ab | aba | abba | agarinx(AB) | ap | ašx(AB) | eri12 | es3 | esa3 | ez3 | eş3 | eš3 | eša3 | ešex(AB) | giraba | iri12 | is3 | iz3 | iş3 | iš7 | unu5,
U+12040,𒁀,compound,,3,|A.AB.BA|,,AABBA_v1,Type_2,|A.AB.BA|,𒀀𒀊𒁀,U+12000; U+1200A; U+12040,ba,BA,BA | BE4 | BI6 | LIBIT | PA2 | WA2 | ba | be4 | bi6 | libit | pa2 | wa2,
U+12000,𒀀,compound,,1,|A.AN|,,AAN_v1,Type_2,|A.AN|,𒀀𒀭,U+12000; U+1202D,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ASY312 [Standard Babylonian (any period) | Akkadian syllabary]; KWU902 [Ur III (~2112–2004 BCE) | Administrative]; RSP053 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA275 [Standard Babylonian (any period) | Akkadian syllabary]
