normalized_token,count
ka,74
šum2,52
inim,42
nanna,30
du11,29
tukum,23
te,20
,19
e3,18
sa6,16
zu2,14
i7,14
gan,13
ugu,13
nimbar,12
geme2,11
gul,9
il2,9
diri,7
&,7
bad3,6
dur2,6
ul,6
2(diš),5
ugnim,5
ṣi,5
edin,5
hul2,5
gu3,5
_,5
hub2,4
puzur4,4
pad,4
u9,4
_kalam,4
har,3
šid,3
eme,3
nibru,3
šamkan,3
ur5,3
se3,3
er2,3
nindax(du),3
238,2
1,2
ukkin,2
lukur,2
gidim,2
bugin,2
gešimmar,2
buranun,2
ga6,2
4(ban2),2
ṣi2,2
gigir,2
šabra,2
ah,2
_1(diš),2
sanga,2
nigar,2
_lugal_,2
nusku,2
du14,2
mu7,2
addirx(|pa+gisal+pad+si+a+ga|),2
azx(pirig),2
šen,2
nir,2
libx(|ni+udu|),2
ṣa,2
šuku,2
384,1
411,1
412,1
416,1
421,1
439,1
441,1
441a,1
447,1
448,1
450,1
eren,1
466,1
470,1
469,1
480,1
482,1
486,1
488,1
guru5,1
489,1
493,1
494,1
498,1
505,1
515,1
512,1
lagabxa,1
as4,1
21,1
22,1
24,1
16,1
29,1
36,1
38,1
41,1
53,1
54,1
55,1
69,1
70,1
71,1
72,1
97,1
116,1
118,1
76,1
81,1
82,1
78,1
105,1
129,1
130,1
134,1
135,1
133,1
140,1
143,1
204,1
208,1
sal+hub2,1
209,1
231,1
232,1
233,1
235,1
242,1
243,1
244,1
247,1
248,1
251,1
252,1
254,1
255,1
263,1
274,1
6(u),1
354,1
355,1
356,1
357,1
358,1
359,1
tul2,1
kux(kwu636),1
gal(gir3),1
mar(e),1
gazx(kum),1
sum,1
ar3,1
keš2_,1
ki_,1
u3(ki),1
ṭa,1
igti,1
uruxmin,1
…\,1
1/2,1
zabar,1
libir,1
ma(mir),1
gu4si,1
ṣir,1
ag3,1
li1,1
ṭu3,1
gešnimbar,1
kinkin,1
sig10,1
muru5(|sal:ud+edin|),1
la2la2,1
ha:bu,1
gudu4,1
pil2,1
šeš(še),1
eme(ka),1
kinkin(ara3),1
ku3_,1
gal_,1
_ugu_,1
_dumu_,1
_in,1
tuku_,1
_igi,1
izi_,1
_iti,1
gar_,1
_ša3,1
du10_,1
n+1(aš),1
nig2:ka9,1
zuh,1
(x),1
ma/ba,1
18,1
19,1
20,1
30,1
40,1
50,1
šara2,1
5(diš)sila3,1
_kaskal_,1
ṣu2,1
_2(diš),1
babbar_,1
ṭa3,1
am(gud),1
ambar,1
lah3(luh),1
še3@90,1
ix(|a+sug|),1
su11,1
geštux(|giš+tug2|),1
ka(sag),1
buru4,1
hurx(ub),1
tu6,1
garzaga,1
ṣu,1
tur3,1
iti6,1
ukur3,1
_sag,1
ra_,1
tukul_,1
_suhuš,1
suhuš_,1
lagabxtil,1
sun2,1
naga,1
su3@g,1
_geš_,1
_še,1
gur_,1
