unicode_id,sign_grapheme,sign_trlitScien,sign_phonetic,sign_translation,sign_type,is_compound,component_position,word_id,confidence,source,artifact_id,corpus_id,genre_name,provenance,modern,archaeological_context,period_index,period_dates,languages,is_school_text,genre_uncertain,period_uncertain,provenience_uncertain
U+1221D,𒈝,LUM,lum,,SYLL,SIMPLE,,P229166_17,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1212B,𒄫,HA@g,peš,,SYLL,SIMPLE,,P229166_21,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+122DE,𒋞,SIG₄,murgu,,SYLL,SIMPLE,,P229166_23,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12363,𒍣,ZI,zi,,SYLL,SIMPLE,,P229166_24,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12037,𒀷,|A.TU.GABA.LIŠ|,asal2,,SYLL,SIMPLE,,P229166_26,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12037,𒀷,|A.TU.GABA.LIŠ|,asal2,,SYLL,SIMPLE,,P229166_29,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+121B3,𒆳,KUR,kur,,SYLL,SIMPLE,,P229166_29,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1228F,𒊏,RA,ra,,SYLL,SIMPLE,,P229166_29,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12037,𒀷,|A.TU.GABA.LIŠ|,asal2,,SYLL,SIMPLE,,P229166_32,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1212D,𒄭,HI,du10,,SYLL,SIMPLE,,P229166_32,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12037,𒀷,|A.TU.GABA.LIŠ|,asal2,,SYLL,SIMPLE,,P229166_34,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12037,𒀷,|A.TU.GABA.LIŠ|,asal2,,SYLL,SIMPLE,,P229166_37,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
