word_id,unresolved_name,sign_type,provenance,period_index,count
P251564_470,šum2,UNKNOWN,uncertain,Old Babylonian,40
P388305_95,inim,UNKNOWN,uncertain,Old Babylonian,28
P388305_10,ka,UNKNOWN,uncertain,Old Babylonian,23
P283685_36,ka,UNKNOWN,Ur,Old Babylonian,19
P388305_25,tukum,UNKNOWN,uncertain,Old Babylonian,19
P388305_43,nanna,UNKNOWN,uncertain,Old Babylonian,18
P388305_73,,UNKNOWN,uncertain,Old Babylonian,15
P346376_4,du11,UNKNOWN,Ur,Old Babylonian,13
P229166_2,nimbar,UNKNOWN,Nippur,Old Babylonian,12
P283685_6,šum2,UNKNOWN,Ur,Old Babylonian,12
P388305_30,du11,UNKNOWN,uncertain,Old Babylonian,11
P251564_11,gan,UNKNOWN,uncertain,Old Babylonian,10
P251564_120,e3,UNKNOWN,uncertain,Old Babylonian,10
P229166_292,ka,UNKNOWN,Nippur,Old Babylonian,9
P346368_14,te,UNKNOWN,Ur,Old Babylonian,9
P283689_6,sa6,UNKNOWN,Ur,Old Babylonian,9
P481816_6,ka,UNKNOWN,Sippar-Yahrurum,Old Babylonian,8
P388305_34,geme2,UNKNOWN,uncertain,Old Babylonian,7
P283687_31,inim,UNKNOWN,Ur,Old Babylonian,7
P283685_30,ugu,UNKNOWN,Ur,Old Babylonian,7
P368906_24,&,UNKNOWN,Nippur,Old Babylonian,7
P346365_4,KA,UNKNOWN,Ur,Old Babylonian,6
P499234_22,nanna,UNKNOWN,Ur,Early Old Babylonian,6
P388305_54,i7,UNKNOWN,uncertain,Old Babylonian,6
P251564_425,ugu,UNKNOWN,uncertain,Old Babylonian,6
P346314_3,diri,UNKNOWN,Ur,Old Babylonian,6
P251564_118,te,UNKNOWN,uncertain,Old Babylonian,5
P346341_10,gu3,UNKNOWN,Ur,Old Babylonian,5
P227526_9,_,UNKNOWN,Nippur,Old Babylonian,5
P229166_17,zu2,UNKNOWN,Nippur,Old Babylonian,4
P252326_4,zu2,UNKNOWN,uncertain,Old Babylonian,4
P229166_148,KA,UNKNOWN,Nippur,Old Babylonian,4
P254883_6,gul,UNKNOWN,Ur,Old Babylonian,4
P323467_19,nanna,UNKNOWN,,Old Akkadian,4
P499234_26,i7,UNKNOWN,Ur,Early Old Babylonian,4
P459060_39,inim,UNKNOWN,Nippur,Old Babylonian,4
P251568_25,puzur4,UNKNOWN,uncertain,Old Babylonian,4
P346321_5,il2,UNKNOWN,Ur,Old Babylonian,4
P323472_2,u9,UNKNOWN,,Old Akkadian,4
P227526_22,_kalam,UNKNOWN,Nippur,Old Babylonian,4
P323974_5,zu2,UNKNOWN,uncertain,Old Akkadian,3
P254872_9,zu2,UNKNOWN,Ur,Old Babylonian,3
P251564_46,gul,UNKNOWN,uncertain,Old Babylonian,3
P283687_17,tukum,UNKNOWN,Ur,Old Babylonian,3
P346374_8,geme2,UNKNOWN,Ur,Old Babylonian,3
P346368_2,i7,UNKNOWN,Ur,Old Babylonian,3
P388305_60,2(diš),UNKNOWN,uncertain,Old Babylonian,3
P283685_37,,UNKNOWN,Ur,Old Babylonian,3
P323974_3,e3,UNKNOWN,uncertain,Old Akkadian,3
P459060_26,nibru,UNKNOWN,Nippur,Old Babylonian,3
P368911_7,šamkan,UNKNOWN,Nippur,Old Babylonian,3
P251564_46,bad3,UNKNOWN,uncertain,Old Babylonian,3
P499234_70,bad3,UNKNOWN,Ur,Early Old Babylonian,3
P499234_48,ugnim,UNKNOWN,Ur,Early Old Babylonian,3
P342646_40,ur5,UNKNOWN,uncertain,Old Babylonian,3
P346331_5,ul,UNKNOWN,Ur,Old Babylonian,3
P251568_36,se3,UNKNOWN,uncertain,Old Babylonian,3
P253576_21,il2,UNKNOWN,uncertain,Old Babylonian,3
P323472_6,edin,UNKNOWN,,Old Akkadian,3
P254866_9,hul2,UNKNOWN,Ur,Old Babylonian,3
P254872_4,er2,UNKNOWN,Ur,Old Babylonian,3
P229166_64,238,UNKNOWN,Nippur,Old Babylonian,2
P229166_116,1,UNKNOWN,Nippur,Old Babylonian,2
P329105_4,KA,UNKNOWN,uncertain,Old Akkadian,2
P499234_58,ka,UNKNOWN,Ur,Early Old Babylonian,2
P229166_310,bugin,UNKNOWN,Nippur,Old Babylonian,2
P300856_18,gan,UNKNOWN,,Ur III,2
P229166_339,eme,UNKNOWN,Nippur,Old Babylonian,2
P260391_4,du11,UNKNOWN,Nippur,Old Babylonian,2
P283684_14,nanna,UNKNOWN,Ur,Old Babylonian,2
P388305_51,gešimmar,UNKNOWN,uncertain,Old Babylonian,2
P388305_55,buranun,UNKNOWN,uncertain,Old Babylonian,2
P499236_24,2(diš),UNKNOWN,Ur,Early Old Babylonian,2
P481816_29,te,UNKNOWN,Sippar-Yahrurum,Old Babylonian,2
P262852_4,te,UNKNOWN,Nippur,Old Babylonian,2
P300856_18,e3,UNKNOWN,,Ur III,2
P200933_30,ga6,UNKNOWN,uncertain,Ur III,2
P283687_16,šid,UNKNOWN,Ur,Old Babylonian,2
P251564_447,sa6,UNKNOWN,uncertain,Old Babylonian,2
P329105_7,sa6,UNKNOWN,uncertain,Old Akkadian,2
P323468_30,sa6,UNKNOWN,,Old Akkadian,2
P251564_288,ugnim,UNKNOWN,uncertain,Old Babylonian,2
P251564_562,dur2,UNKNOWN,uncertain,Old Babylonian,2
P323467_11,dur2,UNKNOWN,,Old Akkadian,2
P346374_6,dur2,UNKNOWN,Ur,Old Babylonian,2
P342646_69,ul,UNKNOWN,uncertain,Old Babylonian,2
P252326_12,ah,UNKNOWN,uncertain,Old Babylonian,2
P283684_1,_1(diš),UNKNOWN,Ur,Old Babylonian,2
P499234_143,ṣi,UNKNOWN,Ur,Early Old Babylonian,2
P342643_83,pad,UNKNOWN,uncertain,Old Babylonian,2
P346310_4,pad,UNKNOWN,Ur,Old Babylonian,2
P427606_40,nigar,UNKNOWN,,Old Babylonian,2
P262849_1,nusku,UNKNOWN,Nippur,Old Babylonian,2
P346344_2,du14,UNKNOWN,Ur,Old Babylonian,2
P254867_14,mu7,UNKNOWN,Ur,Old Babylonian,2
P346341_7,addirx(|PA+GISAL+PAD+SI+A+GA|),UNKNOWN,Ur,Old Babylonian,2
P346297_4,azx(PIRIG),UNKNOWN,Ur,Old Babylonian,2
P346368_37,šen,UNKNOWN,Ur,Old Babylonian,2
P346308_2,libx(|NI+UDU|),UNKNOWN,Ur,Old Babylonian,2
P020479_5,nindax(DU),UNKNOWN,Nippur,ED IIIb,2
P256319_2,šuku,UNKNOWN,Nippur,Old Babylonian,2
P229166_22,384,UNKNOWN,Nippur,Old Babylonian,1
P229166_27,411,UNKNOWN,Nippur,Old Babylonian,1
P229166_30,412,UNKNOWN,Nippur,Old Babylonian,1
P229166_35,416,UNKNOWN,Nippur,Old Babylonian,1
P229166_38,421,UNKNOWN,Nippur,Old Babylonian,1
P229166_41,439,UNKNOWN,Nippur,Old Babylonian,1
P229166_43,har,UNKNOWN,Nippur,Old Babylonian,1
P346367_7,har,UNKNOWN,Ur,Old Babylonian,1
P229166_44,441,UNKNOWN,Nippur,Old Babylonian,1
P229166_46,441a,UNKNOWN,Nippur,Old Babylonian,1
P229166_48,447,UNKNOWN,Nippur,Old Babylonian,1
P229166_50,448,UNKNOWN,Nippur,Old Babylonian,1
P229166_52,450,UNKNOWN,Nippur,Old Babylonian,1
P229166_60,EREN,UNKNOWN,Nippur,Old Babylonian,1
P229166_61,466,UNKNOWN,Nippur,Old Babylonian,1
