unicode_id,sign_grapheme,sign_source,sign_structure,structural_hint,component_position,sign_name,allograph_form,graphic_variant_id,sign_type,compound_form,compound_grapheme,compound_unicode,unicodeTrLit,syllabary_sign,typePhonetic_Version,phonetic_version,signList_analogue
U+12000,𒀀,OSL,atomic,inherited_from_parent,,A,LAK797,A_v1,Type_3,,,,a,A,Single Sign Reading,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,LAK795 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY311 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL470 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU416 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES393 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL324 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU901 [Ur III (~2112–2004 BCE) | Administrative]; MZL839 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE328 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP051 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA274 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,𒀀,OSL,compound,,1,|A.A|,,AA_v1,Type_2,|A.A|,𒀀𒀀,U+12000; U+12000,a,A,Attested Compound Reading,ai|aia|aya|aye|ayi|ayu|ayya|ayye|ayyi|ayyu|iya|iyi|iyu|iyya|iyyi|iyyu|yaₓ,ASY315 [Standard Babylonian (any period) | Akkadian syllabary]; SYA277 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,𒀀,OSL,compound,,2,|A.A|,,AA_v1,Type_2,|A.A|,𒀀𒀀,U+12000; U+12000,a,A,Attested Compound Reading,ai|aia|aya|aye|ayi|ayu|ayya|ayye|ayyi|ayyu|iya|iyi|iyu|iyya|iyyi|iyyu|yaₓ,ASY315 [Standard Babylonian (any period) | Akkadian syllabary]; SYA277 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,𒀀,OSL,compound,,1,|A.A.A|,,AAA_v1,Type_2,|A.A.A|,𒀀𒀀𒀀,U+12000; U+12000; U+12000,a,A,Attested Compound Reading,ayayaₓ,
U+12000,𒀀,OSL,compound,,2,|A.A.A|,,AAA_v1,Type_2,|A.A.A|,𒀀𒀀𒀀,U+12000; U+12000; U+12000,a,A,Attested Compound Reading,ayayaₓ,
U+12000,𒀀,OSL,compound,,3,|A.A.A|,,AAA_v1,Type_2,|A.A.A|,𒀀𒀀𒀀,U+12000; U+12000; U+12000,a,A,Attested Compound Reading,ayayaₓ,
U+12000,𒀀,OSL,compound,,1,|A.AB.BA|,,AABBA_v1,Type_2,|A.AB.BA|,𒀀𒀊𒁀,U+12000; U+1200A; U+12040,a,A,No Attested Compound Reading,,
U+1200A,𒀊,OSL,compound,,2,|A.AB.BA|,,AABBA_v1,Type_2,|A.AB.BA|,𒀀𒀊𒁀,U+12000; U+1200A; U+12040,ab,AB,No Attested Compound Reading,,
U+12040,𒁀,OSL,compound,,3,|A.AB.BA|,,AABBA_v1,Type_2,|A.AB.BA|,𒀀𒀊𒁀,U+12000; U+1200A; U+12040,ba,BA,No Attested Compound Reading,,
U+12000,𒀀,OSL,compound,,1,|A.AN|,,AAN_v1,Type_2,|A.AN|,𒀀𒀭,U+12000; U+1202D,a,A,Attested Compound Reading,a₄|am₃|emₓ|še₇|šeg₃|šeŋ₃|šemₓ,ASY312 [Standard Babylonian (any period) | Akkadian syllabary]; KWU902 [Ur III (~2112–2004 BCE) | Administrative]; RSP053 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA275 [Standard Babylonian (any period) | Akkadian syllabary]
U+1202D,𒀭,OSL,compound,,2,|A.AN|,,AAN_v1,Type_2,|A.AN|,𒀀𒀭,U+12000; U+1202D,an,AN,Attested Compound Reading,a₄|am₃|emₓ|še₇|šeg₃|šeŋ₃|šemₓ,ASY312 [Standard Babylonian (any period) | Akkadian syllabary]; KWU902 [Ur III (~2112–2004 BCE) | Administrative]; RSP053 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA275 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,𒀀,OSL,compound,,1,|A.BAR.BAHAR₂|,,ABARBAHA_v1,Type_2,|A.BAR.BAHAR₂|,𒀀𒁇𒁃,U+12000; U+12047; U+12043,a,A,Attested Compound Reading,baharₓ,
U+12047,𒁇,OSL,compound,,2,|A.BAR.BAHAR₂|,,ABARBAHA_v1,Type_2,|A.BAR.BAHAR₂|,𒀀𒁇𒁃,U+12000; U+12047; U+12043,bar,BAR,Attested Compound Reading,baharₓ,
U+12043,𒁃,OSL,compound,,3,|A.BAR.BAHAR₂|,,ABARBAHA_v1,Type_2,|A.BAR.BAHAR₂|,𒀀𒁇𒁃,U+12000; U+12047; U+12043,bahar₂,BAHAR2,Attested Compound Reading,baharₓ,
U+12000,𒀀,OSL,compound,,1,|A.BARA₂|,,ABARA_v1,Type_2,|A.BARA₂|,𒀀𒁈,U+12000; U+12048,a,A,Attested Compound Reading,idₓ,
U+12048,𒁈,OSL,compound,,2,|A.BARA₂|,,ABARA_v1,Type_2,|A.BARA₂|,𒀀𒁈,U+12000; U+12048,bara₂,BARA2,Attested Compound Reading,idₓ,
U+12000,𒀀,OSL,compound,,1,|A.BI|,,ABI_v1,Type_2,|A.BI|,𒀀𒁉,U+12000; U+12049,a,A,Attested Compound Reading,maštabaₓ,
U+12049,𒁉,OSL,compound,,2,|A.BI|,,ABI_v1,Type_2,|A.BI|,𒀀𒁉,U+12000; U+12049,bi,BI,Attested Compound Reading,maštabaₓ,
U+12000,𒀀,OSL,compound,,1,|A.DU|,,ADU_v1,Type_2,|A.DU|,𒀀𒁺,U+12000; U+1207A,a,A,Attested Compound Reading,a-ra₂|tuše|tuššuru,
U+1207A,𒁺,OSL,compound,,2,|A.DU|,,ADU_v1,Type_2,|A.DU|,𒀀𒁺,U+12000; U+1207A,du,DU,Attested Compound Reading,a-ra₂|tuše|tuššuru,
U+12000,𒀀,OSL,compound,,1,|A.DU&A.DU|,,ADUADU_v1,Type_2,|A.DU&A.DU|,𒀀X𒁺,U+12000; X; U+1207A,a,A,No Attested Compound Reading,,
X,,OSL,compound,,2,|A.DU&A.DU|,,ADUADU_v1,Type_2,|A.DU&A.DU|,𒀀X𒁺,U+12000; X; U+1207A,,,No Attested Compound Reading,,
U+1207A,𒁺,OSL,compound,,3,|A.DU&A.DU|,,ADUADU_v1,Type_2,|A.DU&A.DU|,𒀀X𒁺,U+12000; X; U+1207A,du,DU,No Attested Compound Reading,,
U+12000,𒀀,OSL,compound,,1,|A.EDIN|,,AEDIN_v1,Type_2,|A.EDIN|,𒀀𒂔,U+12000; U+12094,a,A,Attested Compound Reading,eribₓ|eru₄|erua|erum₄|ummuₓ|ummudₓ,
U+12094,𒂔,OSL,compound,,2,|A.EDIN|,,AEDIN_v1,Type_2,|A.EDIN|,𒀀𒂔,U+12000; U+12094,edin,EDIN,Attested Compound Reading,eribₓ|eru₄|erua|erum₄|ummuₓ|ummudₓ,
U+12000,𒀀,OSL,compound,,1,|A.EDIN.LAL|,|A.EDIN|,AEDINLAL_v1,Type_2,|A.EDIN|,𒀀𒂔,U+12000; U+12094,a,A,Attested Compound Reading,eribₓ|eru₄|erua|erum₄|ummuₓ|ummudₓ,
U+12094,𒂔,OSL,compound,,2,|A.EDIN.LAL|,|A.EDIN|,AEDINLAL_v1,Type_2,|A.EDIN|,𒀀𒂔,U+12000; U+12094,edin,EDIN,Attested Compound Reading,eribₓ|eru₄|erua|erum₄|ummuₓ|ummudₓ,
U+12000,𒀀,OSL,compound,,1,|A.EDIN.LAL|,|A.EDIN.A.LAL|,AEDINLAL_v2,Type_2,|A.EDIN.A.LAL|,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,a,A,Attested Compound Reading,ummu,
U+12094,𒂔,OSL,compound,,2,|A.EDIN.LAL|,|A.EDIN.A.LAL|,AEDINLAL_v2,Type_2,|A.EDIN.A.LAL|,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,edin,EDIN,Attested Compound Reading,ummu,
U+12000,𒀀,OSL,compound,,3,|A.EDIN.LAL|,|A.EDIN.A.LAL|,AEDINLAL_v2,Type_2,|A.EDIN.A.LAL|,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,a,A,Attested Compound Reading,ummu,
U+121F2,𒇲,OSL,compound,,4,|A.EDIN.LAL|,|A.EDIN.A.LAL|,AEDINLAL_v2,Type_2,|A.EDIN.A.LAL|,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,lal,LAL,Attested Compound Reading,ummu,
U+12000,𒀀,OSL,compound,,1,|A.EDIN.LAL|,|A.EDIN.NA|,AEDINLAL_v3,Type_2,|A.EDIN.NA|,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,a,A,No Attested Compound Reading,,
U+12094,𒂔,OSL,compound,,2,|A.EDIN.LAL|,|A.EDIN.NA|,AEDINLAL_v3,Type_2,|A.EDIN.NA|,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,edin,EDIN,No Attested Compound Reading,,
U+1223E,𒈾,OSL,compound,,3,|A.EDIN.LAL|,|A.EDIN.NA|,AEDINLAL_v3,Type_2,|A.EDIN.NA|,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,na,NA,No Attested Compound Reading,,
U+12000,𒀀,OSL,compound,,1,|A.EDIN.LAL|,|A.U.EDIN.LAL|,AEDINLAL_v4,Type_2,|A.U.EDIN.LAL|,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,a,A,Attested Compound Reading,ummuₓ|ummudₓ,
U+1230B,𒌋,OSL,compound,,2,|A.EDIN.LAL|,|A.U.EDIN.LAL|,AEDINLAL_v4,Type_2,|A.U.EDIN.LAL|,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,u,U,Attested Compound Reading,ummuₓ|ummudₓ,
U+12094,𒂔,OSL,compound,,3,|A.EDIN.LAL|,|A.U.EDIN.LAL|,AEDINLAL_v4,Type_2,|A.U.EDIN.LAL|,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,edin,EDIN,Attested Compound Reading,ummuₓ|ummudₓ,
U+121F2,𒇲,OSL,compound,,4,|A.EDIN.LAL|,|A.U.EDIN.LAL|,AEDINLAL_v4,Type_2,|A.U.EDIN.LAL|,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,lal,LAL,Attested Compound Reading,ummuₓ|ummudₓ,
U+12094,𒂔,OSL,compound,,1,|A.EDIN.LAL|,|EDIN.A|,AEDINLAL_v5,Type_2,|EDIN.A|,𒂔𒀀,U+12094; U+12000,edin,EDIN,Attested Compound Reading,ummuₓ,
U+12000,𒀀,OSL,compound,,2,|A.EDIN.LAL|,|EDIN.A|,AEDINLAL_v5,Type_2,|EDIN.A|,𒂔𒀀,U+12094; U+12000,a,A,Attested Compound Reading,ummuₓ,
U+12094,𒂔,OSL,compound,,1,|A.EDIN.LAL|,|EDIN.A.LAL|,AEDINLAL_v6,Type_2,|EDIN.A.LAL|,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,edin,EDIN,Attested Compound Reading,ummuₓ,
U+12000,𒀀,OSL,compound,,2,|A.EDIN.LAL|,|EDIN.A.LAL|,AEDINLAL_v6,Type_2,|EDIN.A.LAL|,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,a,A,Attested Compound Reading,ummuₓ,
