unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+12000,𒀀,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5
U+12001,𒀁,a × a,A×A,AYA2-AYA2 | A×A | EDUR | EDURU | aya2-aya2 | edur | eduru
U+12002,𒀂,a × bad,A×BAD,AGAM | A×BAD | agam
U+12003,𒀃,a × gan₂ tenu,A×GAN2@t,A×GAN2@t
U+12004,𒀄,a × ha,A×HA,A×HA | SAH7 | SAHA7 | ZAH3 | ZAHA3 | sah7 | saha7 | zah3 | zaha3
U+12005,𒀅,a × igi,A×IGI,A×IGI | ER6 | IR6 | ISIŠ3 | er6 | ir6 | isiš3 | ŠEŠ3 | šeš3
U+12006,𒀆,a × lagar gunu,A×LAGAR@g,A×LAGAR@G | A×LAGAR@g | ŠEDU3 | šedu3
U+12007,𒀇,a × mush,A×MUŠ,AMUŠ | AMUŠA | A×MUŠ | EMUŠ | amuš | amuša | emuš
U+12008,𒀈,a × sag,A×SAG,A×SAG | ESAG | ESAĜ | esag | esaĝ
U+12009,𒀉,a₂,A2,A2 | AH5 | AHI2 | ED | ET | EŢ | ID | IDI2 | IT | IŢ | TE8 | TI8 | a2 | ah5 | ahi2 | ed | et | eţ | id | idi2 | it | iţ | te8 | ti8
U+1200A,𒀊,ab,AB,AB | ABA | ABBA | AGARINX(AB) | AP | AŠX(AB) | ERI12 | ES3 | ESA3 | EZ3 | EŞ3 | EŠ3 | EŠA3 | EŠEX(AB) | GIRABA | IRI12 | IS3 | IZ3 | IŞ3 | IŠ7 | UNU5 | ab | aba | abba | agarinx(AB) | ap | ašx(AB) | eri12 | es3 | esa3 | ez3 | eş3 | eš3 | eša3 | ešex(AB) | giraba | iri12 | is3 | iz3 | iş3 | iš7 | unu5
U+1200B,𒀋,ab × ash₂,AB×AŠ2,ABBA2 | AB×AŠ2 | abba2
U+1200C,𒀌,ab × dun₃ gunu,AB×DUN3@g,AB×DUN3@G | AB×DUN3@g | AGARIN | AĜARIN | agarin | aĝarin
U+1200D,𒀍,ab × gal,AB×GAL,AB×GAL | ERIGAL | EŠGAL | IRIGAL | UNUGI2 | URUGAL | erigal | ešgal | irigal | unugi2 | urugal
U+1200E,𒀎,ab × gan₂ tenu,AB×GAN2@t,AB×GAN2@T | AB×GAN2@t | AGARIN2 | AĜARIN2 | agarin2 | aĝarin2
U+1200F,𒀏,ab × ha,AB×HA,AB×HA | NANŠE | NAZI | NAŠŠE | NIGIN6 | NINA | NIĜIN6 | SIRARA | SIRARAN | nanše | nazi | našše | nigin6 | nina | niĝin6 | sirara | siraran
U+12010,𒀐,ab × igi gunu,AB×IGI@g,AB×IGI@G | AB×IGI@g | UNUGI | unugi
U+12011,𒀑,ab × imin,AB×IMIN,AB×IMIN | EŠEMEN4 | EŠEMIN4 | ešemen4 | ešemin4
U+12012,𒀒,ab × lagab,AB×LAGAB,AB×LAGAB | NIGINX(|AB×LAGAB|) | niginx(|AB×LAGAB|)
