unicode_id,allograph_sign,allograph_form,allograph_ucun,signList_analogue
U+12037,|A.TU.GABA.LIŠ|,ASAL₂~a,𒀷,LAK212 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU134 [Early Dynastic (~2900–2340 BCE) | Lagash]; PTACE049 [Early Dynastic (~2900–2340 BCE) | Ebla]; ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12003,|A×BAD|,|A.BAD|,𒀀𒁁,LAK800 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; MZL840 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA580 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1201D,|AK×ERIN₂|,AK,𒀝,LAK087 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY070 [Standard Babylonian (any period) | Akkadian syllabary]; BAU062 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES053 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL045 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU073 [Ur III (~2112–2004 BCE) | Administrative]; MZL127 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE068 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP273 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; ABZL053 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL006 [Gudea period (~2100 BCE) | Lagash / Girsu]; GCSL036 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL082 [Hittite period (~1650–1180 BCE) | Hittite]; KWU072 [Ur III (~2112–2004 BCE) | Administrative]; MZL129 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP383 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA098 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1201F,|AK×ERIN₂|,|AK×(ŠITA.GIŠ)|,𒀟,ABZL053 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL006 [Gudea period (~2100 BCE) | Lagash / Girsu]; GCSL036 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL082 [Hittite period (~1650–1180 BCE) | Hittite]; KWU072 [Ur III (~2112–2004 BCE) | Administrative]; MZL129 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP383 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA098 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12160,|AK×ERIN₂|,|KA×ERIN₂|,𒅠,ABZL053 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL006 [Gudea period (~2100 BCE) | Lagash / Girsu]; GCSL036 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL082 [Hittite period (~1650–1180 BCE) | Hittite]; KWU072 [Ur III (~2112–2004 BCE) | Administrative]; MZL129 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP383 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA098 [Standard Babylonian (any period) | Akkado-Babylonian]
U+124FD,|AK×ERIN₂|,LAK493,𒓽,LAK493 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ELLES255 [Early Dynastic (~2900–2340 BCE) | Ebla]; PTACE144 [Early Dynastic (~2900–2340 BCE) | Ebla]; ABZL053 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL006 [Gudea period (~2100 BCE) | Lagash / Girsu]; GCSL036 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL082 [Hittite period (~1650–1180 BCE) | Hittite]; KWU072 [Ur III (~2112–2004 BCE) | Administrative]; MZL129 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP383 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA098 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1210F,ANŠE,|GIR₃×PA|,𒄏,LAK255 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL292 [Old Babylonian (~2000–1600 BCE) | School texts]; LAK253 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU161a [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU161c [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES140 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL167 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL302 [Hittite period (~1650–1180 BCE) | Hittite]; KWU460 [Ur III (~2112–2004 BCE) | Administrative]; MZL353 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE134 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP466 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA208 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1202F,|BAR.AN|,|3×AN|,𒀯,LAK010 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY095 [Standard Babylonian (any period) | Akkadian syllabary]; BAU008 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES006bis [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL051 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU025 [Ur III (~2112–2004 BCE) | Administrative]; MZL247 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE009 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP082 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; MZL123 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA074_182 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12550 [unverified],DIŠ,AŠ@c,𒕐,LAK002 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK839^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK855^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12559 [unverified],DIŠ,DIŠ@c,𒕙,LAK834^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; RSP035 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
