unicode_id,allograph_sign,compound_form,component_position,allograph_ucun,allographCompound_cun,allographCompound_useq,signList_analogue
U+12000,|A.EDIN.LAL|,|A.EDIN|,1,𒀀,𒀀𒂔,U+12000; U+12094,
U+12094,|A.EDIN.LAL|,|A.EDIN|,2,𒂔,𒀀𒂔,U+12000; U+12094,
U+12000,|A.EDIN.LAL|,|A.EDIN.A.LAL|,1,𒀀,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,
U+12094,|A.EDIN.LAL|,|A.EDIN.A.LAL|,2,𒂔,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,
U+12000,|A.EDIN.LAL|,|A.EDIN.A.LAL|,3,𒀀,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,
U+121F2,|A.EDIN.LAL|,|A.EDIN.A.LAL|,4,𒇲,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,
U+12000,|A.EDIN.LAL|,|A.EDIN.NA|,1,𒀀,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,
U+12094,|A.EDIN.LAL|,|A.EDIN.NA|,2,𒂔,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,
U+1223E,|A.EDIN.LAL|,|A.EDIN.NA|,3,𒈾,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,
U+12000,|A.EDIN.LAL|,|A.U.EDIN.LAL|,1,𒀀,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,
U+1230B,|A.EDIN.LAL|,|A.U.EDIN.LAL|,2,𒌋,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,
U+12094,|A.EDIN.LAL|,|A.U.EDIN.LAL|,3,𒂔,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,
U+121F2,|A.EDIN.LAL|,|A.U.EDIN.LAL|,4,𒇲,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,
U+12094,|A.EDIN.LAL|,|EDIN.A|,1,𒂔,𒂔𒀀,U+12094; U+12000,
U+12000,|A.EDIN.LAL|,|EDIN.A|,2,𒀀,𒂔𒀀,U+12094; U+12000,
U+12094,|A.EDIN.LAL|,|EDIN.A.LAL|,1,𒂔,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,
U+12000,|A.EDIN.LAL|,|EDIN.A.LAL|,2,𒀀,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,
U+121F2,|A.EDIN.LAL|,|EDIN.A.LAL|,3,𒇲,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,
U+12094,|A.EDIN.LAL|,|EDIN.LAL|,1,𒂔,𒂔𒇲,U+12094; U+121F2,
U+121F2,|A.EDIN.LAL|,|EDIN.LAL|,2,𒇲,𒂔𒇲,U+12094; U+121F2,
U+12094,|A.EDIN.LAL|,|EDIN.LAL.A|,1,𒂔,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,
U+121F2,|A.EDIN.LAL|,|EDIN.LAL.A|,2,𒇲,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,
U+12000,|A.EDIN.LAL|,|EDIN.LAL.A|,3,𒀀,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,
U+12094,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,1,𒂔,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,
U+1223E,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,2,𒈾,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,
U+12000,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,3,𒀀,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,
U+121F2,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,4,𒇲,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,
U+12000,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,1,𒀀,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
X,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,2,,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
U+120F0,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,3,𒃰,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
U+120FB,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,4,𒃻,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
