unicode_id,allograph_sign,allograph_form,allograph_ucun,signList_analogue
U+12000,A,LAK797,𒀀,LAK795 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY311 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL470 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU416 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES393 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL324 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU901 [Ur III (~2112–2004 BCE) | Administrative]; MZL839 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE328 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP051 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA274 [Standard Babylonian (any period) | Akkadian syllabary]
,|A.HA.TAR.DU|,BU,𒀀𒄩𒋻𒁺,LAK232 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY213 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL265 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU148 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES131 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL115 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL339 [Hittite period (~1650–1180 BCE) | Hittite]; KWU385 [Ur III (~2112–2004 BCE) | Administrative]; MZL580 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP335 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA371 [Standard Babylonian (any period) | Akkado-Babylonian]
,|A.IGI|,|IGI.A|,𒀀𒅆,ASY313 [Standard Babylonian (any period) | Akkadian syllabary]; KWU903 [Ur III (~2112–2004 BCE) | Administrative]; RSP052 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA276 [Standard Babylonian (any period) | Akkadian syllabary]
,|A.LAGAB×HAL|,|GA₂×(HAL.A)|,𒀀𒇉,ASY314 [Standard Babylonian (any period) | Akkadian syllabary]; KWU904 [Ur III (~2112–2004 BCE) | Administrative]; RSP054 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
,|A.SU|,SU,𒀀𒋢,LAK293 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY006 [Standard Babylonian (any period) | Akkadian syllabary]; BAU226 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES172 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL137 [Gudea period (~2100 BCE) | Lagash / Girsu]; MZL016 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE120 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP143 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
,|A.TU.GABA.LIŠ|,|ASAL₂×A|,𒀀𒌅𒃮𒇺,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12009,A₂,DA,𒀉,LAK143 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY191 [Standard Babylonian (any period) | Akkadian syllabary]; BAU097 [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU101 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES077 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL087 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE088 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP419 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK144 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY187 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL230 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU102 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES078 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL088 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL215 [Hittite period (~1650–1180 BCE) | Hittite]; KWU326 [Ur III (~2112–2004 BCE) | Administrative]; MZL560 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE089 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP420 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA334 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA162 [Standard Babylonian (any period) | Akkadian syllabary]
U+1200B,|AB×AŠ₂|,|AB×NUN@t|,𒀋,LAK541 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK540 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL127 [Old Babylonian (~2000–1600 BCE) | School texts]; MZL227 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE241 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP225 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA200an [Standard Babylonian (any period) | Akkado-Babylonian]
U+1200C,|AB×DUN₃@g|,|NINDA₂×DUN₃@g|,𒀌,MZL235 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA199 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1200D,|AB×GAL|,|NINDA₂×GAL|,𒀍,ABZL128 [Old Babylonian (~2000–1600 BCE) | School texts]; MZL228 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA194 [Standard Babylonian (any period) | Akkado-Babylonian]
