unicode_id,allograph_sign,allograph_form,allograph_ucun,allograph_type,graphic_variant_id,compound_form,component_position,allographCompound_cun,allographCompound_useq,signList_analogue
U+12000,A,LAK797,𒀀,Type_3,A_v1,,,,,LAK795 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY311 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL470 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU416 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES393 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL324 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU901 [Ur III (~2112–2004 BCE) | Administrative]; MZL839 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE328 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP051 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA274 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,|A.EDIN.LAL|,|A.EDIN|,𒀀,Type_2,compound,|A.EDIN|,1,𒀀𒂔,U+12000; U+12094,
U+12094,|A.EDIN.LAL|,|A.EDIN|,𒂔,Type_2,compound,|A.EDIN|,2,𒀀𒂔,U+12000; U+12094,
U+12000,|A.EDIN.LAL|,|A.EDIN.A.LAL|,𒀀,Type_2,compound,|A.EDIN.A.LAL|,1,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,
U+12094,|A.EDIN.LAL|,|A.EDIN.A.LAL|,𒂔,Type_2,compound,|A.EDIN.A.LAL|,2,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,
U+12000,|A.EDIN.LAL|,|A.EDIN.A.LAL|,𒀀,Type_2,compound,|A.EDIN.A.LAL|,3,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,
U+121F2,|A.EDIN.LAL|,|A.EDIN.A.LAL|,𒇲,Type_2,compound,|A.EDIN.A.LAL|,4,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,
U+12000,|A.EDIN.LAL|,|A.EDIN.NA|,𒀀,Type_2,compound,|A.EDIN.NA|,1,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,
U+12094,|A.EDIN.LAL|,|A.EDIN.NA|,𒂔,Type_2,compound,|A.EDIN.NA|,2,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,
U+1223E,|A.EDIN.LAL|,|A.EDIN.NA|,𒈾,Type_2,compound,|A.EDIN.NA|,3,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,
U+12000,|A.EDIN.LAL|,|A.U.EDIN.LAL|,𒀀,Type_2,compound,|A.U.EDIN.LAL|,1,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,
U+1230B,|A.EDIN.LAL|,|A.U.EDIN.LAL|,𒌋,Type_2,compound,|A.U.EDIN.LAL|,2,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,
U+12094,|A.EDIN.LAL|,|A.U.EDIN.LAL|,𒂔,Type_2,compound,|A.U.EDIN.LAL|,3,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,
U+121F2,|A.EDIN.LAL|,|A.U.EDIN.LAL|,𒇲,Type_2,compound,|A.U.EDIN.LAL|,4,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,
U+12094,|A.EDIN.LAL|,|EDIN.A|,𒂔,Type_2,compound,|EDIN.A|,1,𒂔𒀀,U+12094; U+12000,
U+12000,|A.EDIN.LAL|,|EDIN.A|,𒀀,Type_2,compound,|EDIN.A|,2,𒂔𒀀,U+12094; U+12000,
U+12094,|A.EDIN.LAL|,|EDIN.A.LAL|,𒂔,Type_2,compound,|EDIN.A.LAL|,1,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,
U+12000,|A.EDIN.LAL|,|EDIN.A.LAL|,𒀀,Type_2,compound,|EDIN.A.LAL|,2,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,
U+121F2,|A.EDIN.LAL|,|EDIN.A.LAL|,𒇲,Type_2,compound,|EDIN.A.LAL|,3,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,
U+12094,|A.EDIN.LAL|,|EDIN.LAL|,𒂔,Type_2,compound,|EDIN.LAL|,1,𒂔𒇲,U+12094; U+121F2,
U+121F2,|A.EDIN.LAL|,|EDIN.LAL|,𒇲,Type_2,compound,|EDIN.LAL|,2,𒂔𒇲,U+12094; U+121F2,
U+12094,|A.EDIN.LAL|,|EDIN.LAL.A|,𒂔,Type_2,compound,|EDIN.LAL.A|,1,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,
U+121F2,|A.EDIN.LAL|,|EDIN.LAL.A|,𒇲,Type_2,compound,|EDIN.LAL.A|,2,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,
U+12000,|A.EDIN.LAL|,|EDIN.LAL.A|,𒀀,Type_2,compound,|EDIN.LAL.A|,3,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,
U+12094,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,𒂔,Type_2,compound,|EDIN.NA.A.LAL|,1,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,
U+1223E,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,𒈾,Type_2,compound,|EDIN.NA.A.LAL|,2,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,
U+12000,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,𒀀,Type_2,compound,|EDIN.NA.A.LAL|,3,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,
U+121F2,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,𒇲,Type_2,compound,|EDIN.NA.A.LAL|,4,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,
U+12000,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,𒀀,Type_2,compound,|A.LAK648×A.GAD.GAR.A.SI|,1,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
X,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,,Type_2,compound,|A.LAK648×A.GAD.GAR.A.SI|,2,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
U+120F0,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,𒃰,Type_2,compound,|A.LAK648×A.GAD.GAR.A.SI|,3,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
U+120FB,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,𒃻,Type_2,compound,|A.LAK648×A.GAD.GAR.A.SI|,4,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
U+12000,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,𒀀,Type_2,compound,|A.LAK648×A.GAD.GAR.A.SI|,5,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
U+122DB,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,𒋛,Type_2,compound,|A.LAK648×A.GAD.GAR.A.SI|,6,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,
U+12000,|A.HA.TAR.DU|,|A.BU|,𒀀,Type_2,compound,|A.BU|,1,𒀀𒁍,U+12000; U+1204D,
U+1204D,|A.HA.TAR.DU|,|A.BU|,𒁍,Type_2,compound,|A.BU|,2,𒀀𒁍,U+12000; U+1204D,
U+12000,|A.HA.TAR.DU|,|A.BU.DU|,𒀀,Type_2,compound,|A.BU.DU|,1,𒀀𒁍𒁺,U+12000; U+1204D; U+1207A,
U+1204D,|A.HA.TAR.DU|,|A.BU.DU|,𒁍,Type_2,compound,|A.BU.DU|,2,𒀀𒁍𒁺,U+12000; U+1204D; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.BU.DU|,𒁺,Type_2,compound,|A.BU.DU|,3,𒀀𒁍𒁺,U+12000; U+1204D; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.BU.HA|,𒀀,Type_2,compound,|A.BU.HA|,1,𒀀𒁍𒄩,U+12000; U+1204D; U+12129,
U+1204D,|A.HA.TAR.DU|,|A.BU.HA|,𒁍,Type_2,compound,|A.BU.HA|,2,𒀀𒁍𒄩,U+12000; U+1204D; U+12129,
U+12129,|A.HA.TAR.DU|,|A.BU.HA|,𒄩,Type_2,compound,|A.BU.HA|,3,𒀀𒁍𒄩,U+12000; U+1204D; U+12129,
U+12000,|A.HA.TAR.DU|,|A.BU.HA.DU|,𒀀,Type_2,compound,|A.BU.HA.DU|,1,𒀀𒁍𒄩𒁺,U+12000; U+1204D; U+12129; U+1207A,
U+1204D,|A.HA.TAR.DU|,|A.BU.HA.DU|,𒁍,Type_2,compound,|A.BU.HA.DU|,2,𒀀𒁍𒄩𒁺,U+12000; U+1204D; U+12129; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.BU.HA.DU|,𒄩,Type_2,compound,|A.BU.HA.DU|,3,𒀀𒁍𒄩𒁺,U+12000; U+1204D; U+12129; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.BU.HA.DU|,𒁺,Type_2,compound,|A.BU.HA.DU|,4,𒀀𒁍𒄩𒁺,U+12000; U+1204D; U+12129; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,𒀀,Type_2,compound,|A.BU.HA.NI.DU|,1,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,
U+1204D,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,𒁍,Type_2,compound,|A.BU.HA.NI.DU|,2,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,𒄩,Type_2,compound,|A.BU.HA.NI.DU|,3,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,
U+1224C,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,𒉌,Type_2,compound,|A.BU.HA.NI.DU|,4,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,𒁺,Type_2,compound,|A.BU.HA.NI.DU|,5,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA|,𒀀,Type_2,compound,|A.HA|,1,𒀀𒄩,U+12000; U+12129,
U+12129,|A.HA.TAR.DU|,|A.HA|,𒄩,Type_2,compound,|A.HA|,2,𒀀𒄩,U+12000; U+12129,
U+12000,|A.HA.TAR.DU|,|A.HA.A.DU|,𒀀,Type_2,compound,|A.HA.A.DU|,1,𒀀𒄩𒀀𒁺,U+12000; U+12129; U+12000; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.HA.A.DU|,𒄩,Type_2,compound,|A.HA.A.DU|,2,𒀀𒄩𒀀𒁺,U+12000; U+12129; U+12000; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA.A.DU|,𒀀,Type_2,compound,|A.HA.A.DU|,3,𒀀𒄩𒀀𒁺,U+12000; U+12129; U+12000; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.HA.A.DU|,𒁺,Type_2,compound,|A.HA.A.DU|,4,𒀀𒄩𒀀𒁺,U+12000; U+12129; U+12000; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA.BU.DU|,𒀀,Type_2,compound,|A.HA.BU.DU|,1,𒀀𒄩𒁍𒁺,U+12000; U+12129; U+1204D; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.HA.BU.DU|,𒄩,Type_2,compound,|A.HA.BU.DU|,2,𒀀𒄩𒁍𒁺,U+12000; U+12129; U+1204D; U+1207A,
U+1204D,|A.HA.TAR.DU|,|A.HA.BU.DU|,𒁍,Type_2,compound,|A.HA.BU.DU|,3,𒀀𒄩𒁍𒁺,U+12000; U+12129; U+1204D; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.HA.BU.DU|,𒁺,Type_2,compound,|A.HA.BU.DU|,4,𒀀𒄩𒁍𒁺,U+12000; U+12129; U+1204D; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA.BU.LAGAB|,𒀀,Type_2,compound,|A.HA.BU.LAGAB|,1,𒀀𒄩𒁍𒆸,U+12000; U+12129; U+1204D; U+121B8,
U+12129,|A.HA.TAR.DU|,|A.HA.BU.LAGAB|,𒄩,Type_2,compound,|A.HA.BU.LAGAB|,2,𒀀𒄩𒁍𒆸,U+12000; U+12129; U+1204D; U+121B8,
U+1204D,|A.HA.TAR.DU|,|A.HA.BU.LAGAB|,𒁍,Type_2,compound,|A.HA.BU.LAGAB|,3,𒀀𒄩𒁍𒆸,U+12000; U+12129; U+1204D; U+121B8,
U+121B8,|A.HA.TAR.DU|,|A.HA.BU.LAGAB|,𒆸,Type_2,compound,|A.HA.BU.LAGAB|,4,𒀀𒄩𒁍𒆸,U+12000; U+12129; U+1204D; U+121B8,
U+12000,|A.HA.TAR.DU|,|A.HA.BU.TAR.DU|,𒀀,Type_2,compound,|A.HA.BU.TAR.DU|,1,𒀀𒄩𒁍𒋻𒁺,U+12000; U+12129; U+1204D; U+122FB; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.HA.BU.TAR.DU|,𒄩,Type_2,compound,|A.HA.BU.TAR.DU|,2,𒀀𒄩𒁍𒋻𒁺,U+12000; U+12129; U+1204D; U+122FB; U+1207A,
U+1204D,|A.HA.TAR.DU|,|A.HA.BU.TAR.DU|,𒁍,Type_2,compound,|A.HA.BU.TAR.DU|,3,𒀀𒄩𒁍𒋻𒁺,U+12000; U+12129; U+1204D; U+122FB; U+1207A,
U+122FB,|A.HA.TAR.DU|,|A.HA.BU.TAR.DU|,𒋻,Type_2,compound,|A.HA.BU.TAR.DU|,4,𒀀𒄩𒁍𒋻𒁺,U+12000; U+12129; U+1204D; U+122FB; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.HA.BU.TAR.DU|,𒁺,Type_2,compound,|A.HA.BU.TAR.DU|,5,𒀀𒄩𒁍𒋻𒁺,U+12000; U+12129; U+1204D; U+122FB; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA.DU|,𒀀,Type_2,compound,|A.HA.DU|,1,𒀀𒄩𒁺,U+12000; U+12129; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.HA.DU|,𒄩,Type_2,compound,|A.HA.DU|,2,𒀀𒄩𒁺,U+12000; U+12129; U+1207A,
U+1207A,|A.HA.TAR.DU|,|A.HA.DU|,𒁺,Type_2,compound,|A.HA.DU|,3,𒀀𒄩𒁺,U+12000; U+12129; U+1207A,
U+12000,|A.HA.TAR.DU|,|A.HA.MUŠ.DU|,𒀀,Type_2,compound,|A.HA.MUŠ.DU|,1,𒀀𒄩𒈲𒁺,U+12000; U+12129; U+12232; U+1207A,
U+12129,|A.HA.TAR.DU|,|A.HA.MUŠ.DU|,𒄩,Type_2,compound,|A.HA.MUŠ.DU|,2,𒀀𒄩𒈲𒁺,U+12000; U+12129; U+12232; U+1207A,
U+12232,|A.HA.TAR.DU|,|A.HA.MUŠ.DU|,𒈲,Type_2,compound,|A.HA.MUŠ.DU|,3,𒀀𒄩𒈲𒁺,U+12000; U+12129; U+12232; U+1207A,
