unicode_id,allograph_ucun,component_position,allograph_sign,allograph_form,allograph_type,compound_form,allographCompound_cun,allographCompound_useq,unicodeTrLit,syllabarySign,PhoneticsVersion,signList_analogue
U+12000,𒀀,,A,LAK797,Type_3,,,,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,LAK795 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY311 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL470 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU416 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES393 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL324 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU901 [Ur III (~2112–2004 BCE) | Administrative]; MZL839 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE328 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP051 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA274 [Standard Babylonian (any period) | Akkadian syllabary]
U+12000,𒀀,1,|A.EDIN.LAL|,|A.EDIN|,Type_2,|A.EDIN|,𒀀𒂔,U+12000; U+12094,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+12094,𒂔,2,|A.EDIN.LAL|,|A.EDIN|,Type_2,|A.EDIN|,𒀀𒂔,U+12000; U+12094,edin,EDIN,BILX(EDIN) | BIR4 | DINX(EDIN) | EDEN | EDENA | EDIMX(EDIN) | EDIN | EDINA | ERU5 | ERUA2 | GIRX(EDIN) | GURX(EDIN) | IDENX(EDIN) | LA8 | RABITA | RI10 | RIBX(EDIN) | RU6 | bilx(EDIN) | bir4 | dinx(EDIN) | eden | edena | edimx(EDIN) | edin | edina | eru5 | erua2 | girx(EDIN) | gurx(EDIN) | idenx(EDIN) | la8 | rabita | ri10 | ribx(EDIN) | ru6,
U+12000,𒀀,1,|A.EDIN.LAL|,|A.EDIN.A.LAL|,Type_2,|A.EDIN.A.LAL|,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+12094,𒂔,2,|A.EDIN.LAL|,|A.EDIN.A.LAL|,Type_2,|A.EDIN.A.LAL|,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,edin,EDIN,BILX(EDIN) | BIR4 | DINX(EDIN) | EDEN | EDENA | EDIMX(EDIN) | EDIN | EDINA | ERU5 | ERUA2 | GIRX(EDIN) | GURX(EDIN) | IDENX(EDIN) | LA8 | RABITA | RI10 | RIBX(EDIN) | RU6 | bilx(EDIN) | bir4 | dinx(EDIN) | eden | edena | edimx(EDIN) | edin | edina | eru5 | erua2 | girx(EDIN) | gurx(EDIN) | idenx(EDIN) | la8 | rabita | ri10 | ribx(EDIN) | ru6,
U+12000,𒀀,3,|A.EDIN.LAL|,|A.EDIN.A.LAL|,Type_2,|A.EDIN.A.LAL|,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+121F2,𒇲,4,|A.EDIN.LAL|,|A.EDIN.A.LAL|,Type_2,|A.EDIN.A.LAL|,𒀀𒂔𒀀𒇲,U+12000; U+12094; U+12000; U+121F2,lal,LAL,LA2 | LAL | LUX(LAL) | SUR5 | SURU5 | ZUR5 | ZURU5 | la2 | lal | lux(LAL) | sur5 | suru5 | zur5 | zuru5 | ŠURUX(LAL) | ŠURX(LAL) | šurux(LAL) | šurx(LAL),
U+12000,𒀀,1,|A.EDIN.LAL|,|A.EDIN.NA|,Type_2,|A.EDIN.NA|,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+12094,𒂔,2,|A.EDIN.LAL|,|A.EDIN.NA|,Type_2,|A.EDIN.NA|,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,edin,EDIN,BILX(EDIN) | BIR4 | DINX(EDIN) | EDEN | EDENA | EDIMX(EDIN) | EDIN | EDINA | ERU5 | ERUA2 | GIRX(EDIN) | GURX(EDIN) | IDENX(EDIN) | LA8 | RABITA | RI10 | RIBX(EDIN) | RU6 | bilx(EDIN) | bir4 | dinx(EDIN) | eden | edena | edimx(EDIN) | edin | edina | eru5 | erua2 | girx(EDIN) | gurx(EDIN) | idenx(EDIN) | la8 | rabita | ri10 | ribx(EDIN) | ru6,
U+1223E,𒈾,3,|A.EDIN.LAL|,|A.EDIN.NA|,Type_2,|A.EDIN.NA|,𒀀𒂔𒈾,U+12000; U+12094; U+1223E,na,NA,ANIKU | NA | NE6 | NU8 | aniku | na | ne6 | nu8,
U+12000,𒀀,1,|A.EDIN.LAL|,|A.U.EDIN.LAL|,Type_2,|A.U.EDIN.LAL|,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+1230B,𒌋,2,|A.EDIN.LAL|,|A.U.EDIN.LAL|,Type_2,|A.U.EDIN.LAL|,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,u,U,1U | 1u | A6 | BARX(U) | BU12 | BUR3 | BURU3 | BURUDX(U) | BUZUR | GE14 | GEŠBURX(U) | GIBIRU | GIBURU | GIGURU | GURU12 | HA3 | HU3 | PUZUR | U | UMUN | UN2 | UTAHX(U) | UTUX(U) | UŠUR5 | a6 | barx(U) | bu12 | bur3 | buru3 | burudx(U) | buzur | ge14 | gešburx(U) | gibiru | giburu | giguru | guru12 | ha3 | hu3 | puzur | u | umun | un2 | utahx(U) | utux(U) | ušur5 | ŠIL3 | ŠU4 | ŠUŠ | šil3 | šu4 | šuš,
U+12094,𒂔,3,|A.EDIN.LAL|,|A.U.EDIN.LAL|,Type_2,|A.U.EDIN.LAL|,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,edin,EDIN,BILX(EDIN) | BIR4 | DINX(EDIN) | EDEN | EDENA | EDIMX(EDIN) | EDIN | EDINA | ERU5 | ERUA2 | GIRX(EDIN) | GURX(EDIN) | IDENX(EDIN) | LA8 | RABITA | RI10 | RIBX(EDIN) | RU6 | bilx(EDIN) | bir4 | dinx(EDIN) | eden | edena | edimx(EDIN) | edin | edina | eru5 | erua2 | girx(EDIN) | gurx(EDIN) | idenx(EDIN) | la8 | rabita | ri10 | ribx(EDIN) | ru6,
U+121F2,𒇲,4,|A.EDIN.LAL|,|A.U.EDIN.LAL|,Type_2,|A.U.EDIN.LAL|,𒀀𒌋𒂔𒇲,U+12000; U+1230B; U+12094; U+121F2,lal,LAL,LA2 | LAL | LUX(LAL) | SUR5 | SURU5 | ZUR5 | ZURU5 | la2 | lal | lux(LAL) | sur5 | suru5 | zur5 | zuru5 | ŠURUX(LAL) | ŠURX(LAL) | šurux(LAL) | šurx(LAL),
U+12094,𒂔,1,|A.EDIN.LAL|,|EDIN.A|,Type_2,|EDIN.A|,𒂔𒀀,U+12094; U+12000,edin,EDIN,BILX(EDIN) | BIR4 | DINX(EDIN) | EDEN | EDENA | EDIMX(EDIN) | EDIN | EDINA | ERU5 | ERUA2 | GIRX(EDIN) | GURX(EDIN) | IDENX(EDIN) | LA8 | RABITA | RI10 | RIBX(EDIN) | RU6 | bilx(EDIN) | bir4 | dinx(EDIN) | eden | edena | edimx(EDIN) | edin | edina | eru5 | erua2 | girx(EDIN) | gurx(EDIN) | idenx(EDIN) | la8 | rabita | ri10 | ribx(EDIN) | ru6,
U+12000,𒀀,2,|A.EDIN.LAL|,|EDIN.A|,Type_2,|EDIN.A|,𒂔𒀀,U+12094; U+12000,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+12094,𒂔,1,|A.EDIN.LAL|,|EDIN.A.LAL|,Type_2,|EDIN.A.LAL|,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,edin,EDIN,BILX(EDIN) | BIR4 | DINX(EDIN) | EDEN | EDENA | EDIMX(EDIN) | EDIN | EDINA | ERU5 | ERUA2 | GIRX(EDIN) | GURX(EDIN) | IDENX(EDIN) | LA8 | RABITA | RI10 | RIBX(EDIN) | RU6 | bilx(EDIN) | bir4 | dinx(EDIN) | eden | edena | edimx(EDIN) | edin | edina | eru5 | erua2 | girx(EDIN) | gurx(EDIN) | idenx(EDIN) | la8 | rabita | ri10 | ribx(EDIN) | ru6,
U+12000,𒀀,2,|A.EDIN.LAL|,|EDIN.A.LAL|,Type_2,|EDIN.A.LAL|,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,
U+121F2,𒇲,3,|A.EDIN.LAL|,|EDIN.A.LAL|,Type_2,|EDIN.A.LAL|,𒂔𒀀𒇲,U+12094; U+12000; U+121F2,lal,LAL,LA2 | LAL | LUX(LAL) | SUR5 | SURU5 | ZUR5 | ZURU5 | la2 | lal | lux(LAL) | sur5 | suru5 | zur5 | zuru5 | ŠURUX(LAL) | ŠURX(LAL) | šurux(LAL) | šurx(LAL),
U+12094,𒂔,1,|A.EDIN.LAL|,|EDIN.LAL|,Type_2,|EDIN.LAL|,𒂔𒇲,U+12094; U+121F2,edin,EDIN,BILX(EDIN) | BIR4 | DINX(EDIN) | EDEN | EDENA | EDIMX(EDIN) | EDIN | EDINA | ERU5 | ERUA2 | GIRX(EDIN) | GURX(EDIN) | IDENX(EDIN) | LA8 | RABITA | RI10 | RIBX(EDIN) | RU6 | bilx(EDIN) | bir4 | dinx(EDIN) | eden | edena | edimx(EDIN) | edin | edina | eru5 | erua2 | girx(EDIN) | gurx(EDIN) | idenx(EDIN) | la8 | rabita | ri10 | ribx(EDIN) | ru6,
U+121F2,𒇲,2,|A.EDIN.LAL|,|EDIN.LAL|,Type_2,|EDIN.LAL|,𒂔𒇲,U+12094; U+121F2,lal,LAL,LA2 | LAL | LUX(LAL) | SUR5 | SURU5 | ZUR5 | ZURU5 | la2 | lal | lux(LAL) | sur5 | suru5 | zur5 | zuru5 | ŠURUX(LAL) | ŠURX(LAL) | šurux(LAL) | šurx(LAL),
